,Unnamed: 0,Unnamed: 0.1,GameKey,PlayerID,Season,Week,Number,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPointsPPR,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,HomePoints,HomeYards,AwayPoints,AwayYards,LogFantasyPointsPPR,TotalYards
count,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31538.0,31264.0,31538.0
mean,50834.776935760034,749.2002029297989,201945650.82750967,17608.326653560784,2019.3477392352083,8.590589130572642,35.90281565096075,0.3339780582154861,2.030344346502632,1.3129875071342507,14.779947999239013,4.471745196271168,0.528067727820406,0.7841270847866071,0.09490138880081173,0.04635677595281882,6.343190754011035,2.4270086879320187,0.1384044644555774,0.9299575115733401,1.5229881412898725,6.653497368254169,1.0085040268882,0.05390322785211491,2.569122962775065,1.9437186885661741,1.3024605238125435,14.695732132665356,4.628334073181573,0.09363307755723255,7.323355951550511,0.06506436679561164,0.030312638721542266,0.08399391210603081,0.7032785845646522,0.0005707400596106284,0.09442577208446953,2.1266408776713805,0.0005707400596106284,0.10904305916671951,0.09122328619443211,0.1334580506056186,0.005009829412137738,0.002219544676263555,0.004882998287779821,5.594184792948187,0.0005073244974316697,0.024573530344346502,0.0287272496670683,0.026032088274462552,0.011383093411123089,23.906462045786036,354.0130001902467,23.252964677531867,351.2563891178895,-inf,36.12917750015854
std,29396.01669610054,526.7107135112374,103273.59676961455,4090.030058977223,1.0337449954964701,4.945258528633189,31.65005943386666,0.47163944708249084,8.25988894030601,5.393897249928352,61.3044652696827,16.99906271106058,2.2839869095040473,3.1467493877612487,0.47464688380851505,0.28581289806642257,24.46920890087693,9.980277462639336,0.680003630474813,4.764905489304875,4.069776327309792,19.933915473864964,2.811046722655514,0.26819225575428757,7.159035794751964,3.001522167618772,2.116556622723772,27.246311455897498,7.368063412961395,0.33058188236580544,12.151476565635791,0.28527218143596694,0.1816852122711317,0.44661406776959944,4.971381078879693,0.025176377331748316,0.48775473856904505,11.76501515432037,0.02388372673057441,0.5335555401235589,0.4624516355511521,0.6453217919334882,0.07410957876852513,0.04904020024001742,0.07016214268683277,7.6623098634497975,0.02251850789392767,0.1841928092039534,0.2006721362543919,0.19274566452229333,0.11850843279429213,10.095852978394557,85.76824468290138,10.230039272485199,88.40965668436034,,68.86650663527935
min,0.0,0.0,201810101.0,462.0,2018.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,0.0,-28.0,0.0,0.0,-11.0,-11.0,0.0,-11.0,0.0,0.0,0.0,-13.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.66,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,47.0,-inf,-28.0
25%,25421.5,258.0,201811713.0,16276.0,2018.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,294.0,17.0,289.0,,0.0
50%,50826.5,713.0,201911512.0,18880.0,2019.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,357.0,23.0,351.0,0.6931471805599453,4.0
75%,76305.75,1187.0,202011302.0,20159.0,2020.0,13.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.0,8.375,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,31.0,412.0,30.0,414.0,2.1972245773362196,43.0
max,101825.0,1905.0,202111035.0,23101.0,2021.0,17.0,89.0,1.0,68.0,45.0,517.0,100.0,63.0,63.0,6.0,5.0,158.33,97.0,11.0,72.0,35.0,253.0,65.0,6.0,99.0,20.0,16.0,269.0,93.0,4.0,97.0,4.0,3.0,8.0,195.0,2.0,7.0,203.0,1.0,8.0,7.0,8.0,2.0,2.0,2.0,57.9,1.0,4.0,4.0,3.0,3.0,56.0,607.0,59.0,643.0,4.05871738457895,517.0
